number,company,symbol,ytd_return
195,PTC Inc.,,   11.96
196,Humana,,   11.94
197,AES Corporation,,   11.89
198,Albemarle Corporation,,   11.69
199,Franklin Resources,,   11.63
200,Trimble Inc.,,   11.21
201,Synchrony Financial,,   11.17
202,Cigna,,   11.12
203,Mettler Toledo,,   10.92
204,"Tesla, Inc.",,   10.79
205,Freeport-McMoRan,,   10.79
206,Teradyne,,   10.54
207,Yum! Brands,,   10.44
208,Solventum,,   10.31
209,Travelers Companies (The),,   10.11
210,D. R. Horton,,   9.97
211,Hershey Company (The),,   9.96
212,Coca-Cola Company (The),,   9.93
213,Cadence Design Systems,,   9.71
214,Republic Services,,   9.42
215,Pinnacle West,,   9.39
216,Datadog,,   9.38
217,Deere & Company,,   9.14
218,Berkshire Hathaway,,   9.00
219,Visa Inc.,,   8.98
220,Crown Castle,,   8.94
221,General Motors,,   8.88
222,Corteva,,   8.81
223,Qualcomm,,   8.74
224,Expeditors International,,   8.73
225,Pentair,,   8.60
226,IQVIA,,   7.91
227,Linde plc,,   7.86
228,Cincinnati Financial,,   7.79
229,Textron,,   7.73
230,Mohawk Industries,,   7.65
231,Mastercard,,   7.56
232,Expand Energy,,   7.38
233,Hewlett Packard Enterprise,,   7.12
234,Vici Properties,,   6.85
235,Waste Management,,   6.74
236,American International Group,,   6.72
237,Chevron Corporation,,   6.66
238,Agilent Technologies,,   6.45
239,Raymond James Financial,,   6.21
240,McDonald's,,   6.17
241,DuPont,,   6.16
242,Stryker Corporation,,   5.88
243,Intuit,,   5.77
244,NXP Semiconductors,,   5.76
245,Sempra,,   5.70
246,Hilton Worldwide,,   5.62
247,Willis Towers Watson,,   5.37
248,American Tower,,   5.27
249,Cintas,,   5.27
250,Emerson Electric,,   5.18
251,Mondelez International,,   5.16
252,Aflac,,   5.15
253,Lilly (Eli),,   4.79
254,ExxonMobil,,   4.77
255,Apple Inc.,,   4.72
256,CoStar Group,,   4.71
257,Thermo Fisher Scientific,,   4.54
258,Sysco,,   4.50
259,United Airlines Holdings,,   4.32
260,T-Mobile US,,   4.24
261,Intercontinental Exchange,,   4.21
262,Tractor Supply,,   4.20
263,Autodesk,,   4.19
264,Public Storage,,   4.13
265,Lockheed Martin,,   4.11
266,Ross Stores,,   4.09
267,Vertex Pharmaceuticals,,   4.07
268,Ametek,,   3.96
269,Simon Property Group,,   3.64
270,Booking Holdings,,   3.49
271,Wabtec,,   3.44
272,Hubbell Incorporated,,   3.05
273,TransDigm Group,,   2.71
274,Keysight Technologies,,   2.56
275,Kellanova,,   2.56
276,Williams-Sonoma,,   2.51
277,Southwest Airlines,,   2.41
278,A. O. Smith,,   2.35
279,Regions Financial Corporation,,   2.30
280,Costco,,   2.17
281,Veralto,,   2.09
282,Delta Air Lines,,   2.07
283,Broadridge Financial Solutions,,   2.03
284,Verizon,,   2.03
285,Principal Financial Group,,   2.02
286,Edwards Lifesciences,,   1.70
287,KeyCorp,,   1.40
288,Extra Space Storage,,   1.25
289,PepsiCo,,   1.04
290,NetApp,,   1.00
291,Match Group,,   0.83
292,Domino's,,   0.76
293,Iron Mountain,,   0.68
294,Darden Restaurants,,   0.66
295,Walt Disney Company (The),,   0.55
296,Allstate,,   0.52
297,Kinder Morgan,,   0.44
298,Snap-on,,   0.41
299,Public Service Enterprise Group,,   0.40
300,Moody's Corporation,,   0.23
301,Truist Financial,,   0.16
302,Home Depot (The),,   -0.03
303,Charles River Laboratories,,   -0.25
304,Hologic,,   -0.31
305,Union Pacific Corporation,,   -0.32
306,Illinois Tool Works,,   -0.47
307,Fifth Third Bancorp,,   -1.14
308,Otis Worldwide,,   -1.19
309,Amazon,,   -1.33
310,U.S. Bancorp,,   -1.53
311,News Corp (Class B),,   -1.61
312,Arthur J. Gallagher & Co.,,   -1.62
313,CF Industries,,   -1.63
314,Lamb Weston,,   -1.74
315,Lowe's,,   -1.84
316,Paycom,,   -1.89
317,Assurant,,   -1.91
318,Regency Centers,,   -2.33
319,Devon Energy,,   -2.44
320,Gen Digital,,   -2.48
321,Digital Realty,,   -2.49
322,Sherwin-Williams,,   -2.56
323,APA Corporation,,   -2.60
324,Huntington Bancshares,,   -2.64
325,Roper Technologies,,   -2.69
326,Zimmer Biomet,,   -2.74
327,Chubb Limited,,   -2.93
328,SBA Communications,,   -2.96
329,Motorola Solutions,,   -2.98
330,J.B. Hunt,,   -3.03
331,M&T Bank,,   -3.16
332,Las Vegas Sands,,   -3.17
333,Everest Group,,   -3.18
334,Airbnb,,   -3.20
335,Automatic Data Processing,,   -3.31
336,GE HealthCare,,   -3.45
337,MetLife,,   -3.83
338,News Corp (Class A),,   -3.99
339,Elevance Health,,   -4.02
340,S&P Global,,   -4.10
341,Biogen,,   -4.11
342,Aon,,   -4.19
343,Texas Instruments,,   -4.23
344,J.M. Smucker Company (The),,   -4.32
345,Lennar,,   -4.67
346,Interpublic Group of Companies (The),,   -4.96
347,"BXP, Inc.",,   -4.96
348,Masco,,   -5.32
349,PNC Financial Services,,   -5.54
350,Best Buy,,   -5.58
351,Arch Capital Group,,   -5.83
352,Host Hotels & Resorts,,   -5.88
353,Dayforce,,   -6.00
354,"NVR, Inc.",,   -6.09
355,Kimco Realty,,   -6.10
356,Paccar,,   -6.29
357,"Workday, Inc.",,   -6.52
358,Synopsys,,   -6.60
359,Marriott International,,   -6.79
360,Pfizer,,   -6.94
361,Blackstone Inc.,,   -6.95
362,Starbucks,,   -7.36
363,Waters Corporation,,   -7.49
364,Henry Schein,,   -7.62
365,Healthpeak Properties,,   -7.65
366,T. Rowe Price,,   -7.83
367,W. W. Grainger,,   -7.89
368,Kimberly-Clark,,   -7.89
369,MGM Resorts,,   -8.02
370,Coterra,,   -8.30
371,Progressive Corporation,,   -8.44
372,Packaging Corporation of America,,   -8.55
373,Essex Property Trust,,   -8.63
374,Tyson Foods,,   -8.64
375,Honeywell,,   -8.79
376,Omnicom Group,,   -9.12
377,Danaher Corporation,,   -9.22
378,Equifax,,   -9.31
379,Procter & Gamble,,   -9.36
380,Norwegian Cruise Line Holdings,,   -9.64
381,Paychex,,   -9.72
382,Dover Corporation,,   -9.96
383,"Block, Inc.",,   -9.99
384,Fortinet,,   -10.18
385,Invitation Homes,,   -10.54
386,MSCI,,   -10.55
387,Marsh McLennan,,   -10.59
388,"Nike, Inc.",,   -10.64
389,CDW,,   -10.72
390,Zoetis,,   -10.97
391,International Paper,,   -11.02
392,Federal Realty Investment Trust,,   -11.08
393,McCormick & Company,,   -11.14
394,Camden Property Trust,,   -11.16
395,Ameriprise Financial,,   -11.22
396,Tyler Technologies,,   -11.51
397,Jack Henry & Associates,,   -11.54
398,Ball Corporation,,   -11.65
399,Dexcom,,   -12.01
400,Intuitive Surgical,,   -12.16
401,ConocoPhillips,,   -12.21
402,Lennox International,,   -12.24
403,Air Products,,   -12.35
404,Equinix,,   -12.49
405,Schlumberger,,   -12.81
406,Fortive,,   -12.81
407,ON Semiconductor,,   -12.94
408,Equity Residential,,   -13.11
409,Bio-Techne,,   -13.18
410,EOG Resources,,   -13.20
411,Merck & Co.,,   -13.23
412,Ingersoll Rand,,   -13.25
413,Cognizant,,   -13.26
414,Colgate-Palmolive,,   -13.38
415,Amcor,,   -13.39
416,ServiceNow,,   -13.45
417,Keurig Dr Pepper,,   -13.61
418,Pool Corporation,,   -13.75
419,Diamondback Energy,,   -13.82
420,Stanley Black & Decker,,   -13.95
421,Mid-America Apartment Communities,,   -14.03
422,Skyworks Solutions,,   -14.14
423,Brown & Brown,,   -14.21
424,Builders FirstSource,,   -14.32
425,Prudential Financial,,   -14.35
426,Avery Dennison,,   -14.36
427,DaVita,,   -14.38
428,PPG Industries,,   -14.47
429,Verisk Analytics,,   -14.57
430,Revvity,,   -14.60
431,FedEx,,   -14.76
432,AvalonBay Communities,,   -14.97
433,HP Inc.,,   -15.23
434,Targa Resources,,   -15.44
435,Corpay,,   -15.47
436,Texas Pacific Land Corporation,,   -15.51
437,Carrier Global,,   -15.51
438,Becton Dickinson,,   -15.81
439,Church & Dwight,,   -15.88
440,Fidelity National Information Services,,   -15.88
441,West Pharmaceutical Services,,   -16.08
442,Kraft Heinz,,   -16.28
443,"UDR, Inc.",,   -16.47
444,Halliburton,,   -16.81
445,Occidental Petroleum,,   -16.96
446,Viatris,,   -17.19
447,Weyerhaeuser,,   -17.23
448,PG&E Corporation,,   -17.34
449,LKQ Corporation,,   -18.07
450,Cooper Companies (The),,   -18.43
451,Fair Isaac,,   -18.61
452,Molson Coors Beverage Company,,   -18.70
453,KKR,,   -18.80
454,PayPal,,   -18.92
455,Regeneron Pharmaceuticals,,   -19.03
456,Old Dominion,,   -20.23
457,IDEX Corporation,,   -20.39
458,Baxter International,,   -20.68
459,Comcast,,   -21.21
460,Alexandria Real Estate Equities,,   -21.34
461,Smurfit WestRock,,   -21.59
462,Zebra Technologies,,   -21.95
463,Copart,,   -22.01
464,Global Payments,,   -22.35
465,Akamai Technologies,,   -22.37
466,Adobe Inc.,,   -22.78
467,Bristol Myers Squibb,,   -22.93
468,Erie Indemnity,,   -23.24
469,General Mills,,   -23.46
470,International Flavors & Fragrances,,   -23.55
471,Hormel Foods,,   -23.62
472,Brown–Forman,,   -23.83
473,Salesforce,,   -23.94
474,Apollo Global Management,,   -24.20
475,Campbell Soup Company,,   -25.93
476,Clorox,,   -26.37
477,Charter Communications,,   -26.62
478,Edison International,,   -27.79
479,UnitedHealth Group,,   -27.95
480,Kenvue,,   -29.93
481,Chipotle Mexican Grill,,   -30.96
482,United Parcel Service,,   -31.08
483,Accenture,,   -31.16
484,ONEOK,,   -31.74
485,Molina Healthcare,,   -32.15
486,Target Corporation,,   -32.29
487,Eastman Chemical Company,,   -32.61
488,GoDaddy,,   -32.89
489,Conagra Brands,,   -33.33
490,Moderna,,   -34.49
491,Align Technology,,   -35.29
492,Constellation Brands,,   -36.10
493,EPAM Systems,,   -37.99
494,LyondellBasell,,   -38.58
495,FactSet,,   -39.53
496,Fiserv,,   -39.57
497,Centene Corporation,,   -41.22
498,Dow Inc.,,   -46.10
499,CarMax,,   -47.37
500,Gartner,,   -50.57
501,Deckers Brands,,   -50.67
502,Lululemon Athletica,,   -54.91
503,"The Trade Desk, Inc.",,   -55.33
